Name	Score	0.95 MoE	p-value	FDR
RB1_AMP	0.2968065111863753		0.0013143281483087882	0.2564102564102564
ZMYM5_AMP	0.2916186551412781		0.0015114773705551066	0.2937420178799489
DPYD_MUT	0.29161865513247187		0.0016034803409367216	0.3057644110275689
PNPLA6_MUT	0.291618655131613		0.0016034803409367216	0.3057644110275689
EVPL_MUT	0.29161865511981133		0.0016034803409367216	0.3057644110275689
INO80_MUT	0.2916186551192578		0.0016034803409367216	0.3057644110275689
NLRC5_MUT	0.29161865510920665		0.0016034803409367216	0.3057644110275689
MECOM_MUT	0.29161865509414325		0.0016954833113183368	0.31970260223048325
SIN3A_MUT	0.2916186550924093		0.0016954833113183368	0.31970260223048325
NAALADL2_DEL	0.2912252643121864		0.0016954833113183368	0.31970260223048325
AXIN2_MUT	0.29077167636970097		0.002043780270620166	0.35262345679012347
MAST2_MUT	0.2907716763631747		0.0021094966780356053	0.35262345679012347
RALGAPA2_MUT	0.29077167635581513		0.002129211600260237	0.35262345679012347
MYO16_AMP	0.2907716763534593		0.002135783241001781	0.35262345679012347
MLLT4_MUT	0.29077167634392587		0.002162069803967957	0.35262345679012347
SPEN_MUT	0.28298606610131755		0.002254072774349572	0.35262345679012347
FANCM_MUT	0.27757961249920554		0.002306645900281923	0.35262345679012347
RIF1_MUT	0.2775796124936224		0.002306645900281923	0.35262345679012347
BIRC6_MUT	0.2775796124854035		0.002306645900281923	0.35262345679012347
BMPR2_MUT	0.2720546170832119		0.002346075744731187	0.35262345679012347
SPG20_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
NBEA_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
SERTM1_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
DCLK1_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
CCDC169-SOHLH2_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
CCNA1_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
CCDC169_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
LINC00457_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
MAB21L1_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
SOHLH2_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
SPG20OS_AMP	0.26957119391188833		0.0023855055891804505	0.35262345679012347
PCDH20_AMP	0.2695711939103857		0.0023920772299219945	0.35262345679012347
PCDH9-AS3_AMP	0.26957119390709505		0.0023920772299219945	0.35262345679012347
GOLGA4_MUT	0.2695711939064103		0.0023920772299219945	0.35262345679012347
DACH1_AMP	0.26957119390455353		0.0023920772299219945	0.35262345679012347
LINC00348_AMP	0.26957119390455353		0.0023920772299219945	0.35262345679012347
BAZ1A_MUT	0.2695711939040109		0.0023920772299219945	0.35262345679012347
MIR4305_AMP	0.26957119389874135		0.0023920772299219945	0.35262345679012347
COG6_AMP	0.26957119389874135		0.0023920772299219945	0.35262345679012347
PAX5_MUT	0.2695711938926301		0.0023920772299219945	0.35262345679012347
MAK_MUT	0.2695711938887752		0.0023920772299219945	0.35262345679012347
LINC00353_AMP	0.26957119388841216		0.0023920772299219945	0.35262345679012347
RNU6-78_AMP	0.2695711938838028		0.0023920772299219945	0.35262345679012347
B3GALTL_AMP	0.2695711938838028		0.0023920772299219945	0.35262345679012347
HSPH1_AMP	0.2695711938838028		0.0023920772299219945	0.35262345679012347
RXFP2_AMP	0.2695711938838028		0.0023920772299219945	0.35262345679012347
LRCH4_MUT	0.26957119388293255		0.0023920772299219945	0.35262345679012347
ABCA2_MUT	0.26957119387679107		0.0023920772299219945	0.35262345679012347
ZC3H6_MUT	0.2695711938758236		0.0023920772299219945	0.35262345679012347
ARHGEF12_MUT	0.26957119387509487		0.0023920772299219945	0.35262345679012347
ACAP3_MUT	0.26957119387387624		0.0023920772299219945	0.35262345679012347
POU4F1-AS1_AMP	0.2695711938709587		0.0023920772299219945	0.35262345679012347
TLR3_MUT	0.26957119386883394		0.0023920772299219945	0.35262345679012347
TEX26_AMP	0.26957119386834466		0.0023920772299219945	0.35262345679012347
ANKRD20A9P_AMP	0.26957119386823164		0.0023920772299219945	0.35262345679012347
HNF1A_MUT	0.26957119386652184		0.0023920772299219945	0.35262345679012347
TSHZ1_MUT	0.2695711938658219		0.0023920772299219945	0.35262345679012347
BPTF_MUT	0.2695711938618525		0.0024052205114050824	0.35262345679012347
INTS6_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
MIR759_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
MIR5693_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
SERPINE3_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
FAM124A_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
PCDH8_AMP	0.2695711938586811		0.0024052205114050824	0.35262345679012347
NPAT_MUT	0.26957119385824146		0.0024052205114050824	0.35262345679012347
CDK19_MUT	0.26957119385726247		0.0024052205114050824	0.35262345679012347
TRIM24_MUT	0.2695711938479214		0.0024052205114050824	0.35262345679012347
ARHGAP5_MUT	0.26957119384440315		0.0024117921521466263	0.35262345679012347
NCOA7_MUT	0.2695711938431095		0.0024117921521466263	0.35262345679012347
LCP1_MUT	0.2695711938401261		0.0024183637928881702	0.35262345679012347
MCF2L_AMP	0.26752507012374255		0.002589226452168313	0.35262345679012347
BAT2_MUT	0.2675250701199638		0.002589226452168313	0.35262345679012347
FBXW7_MUT	0.2673669576376867		0.002661514500325296	0.35262345679012347
TRPS1_DEL	0.26558167110391817		0.002661514500325296	0.35262345679012347
FGFRL1_MUT	0.2655816710989538		0.002674657781808384	0.35262345679012347
TICAM1_MUT	0.26558167109065267		0.002694372704033016	0.35262345679012347
CENPB_MUT	0.26558167108710795		0.002694372704033016	0.35262345679012347
PAN3_MUT	0.265581671086176		0.002694372704033016	0.35262345679012347
RPS6KA3_MUT	0.26558167108429254		0.002694372704033016	0.35262345679012347
SH3YL1_MUT	0.265581671082825		0.002694372704033016	0.35262345679012347
MYO1B_MUT	0.26558167108038744		0.002707515985516104	0.35262345679012347
E2F2_MUT	0.2655816710800442		0.002707515985516104	0.35262345679012347
PRKCSH_MUT	0.2655816710781204		0.0027272309077407356	0.35262345679012347
MSH2_DEL	0.26558167107737235		0.0027272309077407356	0.35262345679012347
AMH_MUT	0.2655816710767796		0.0027272309077407356	0.35262345679012347
HMGCR_MUT	0.2655816710741416		0.0027535174707069114	0.35262345679012347
ANXA4_MUT	0.26558167107370306		0.0027535174707069114	0.35262345679012347
